iter	Passed	Remaining
140	3744	12189
141	3767	12151
142	3790	12112
143	3812	12071
144	3836	12039
145	3861	12006
146	3885	11974
147	3908	11937
148	3932	11903
149	3956	11869
150	3980	11834
151	4001	11793
152	4025	11761
153	4048	11724
154	4074	11697
155	4097	11662
156	4121	11630
157	4147	11601
158	4174	11577
159	4197	11544
160	4223	11516
161	4248	11486
162	4273	11456
163	4298	11426
164	4323	11398
165	4347	11366
166	4371	11333
167	4392	11295
168	4416	11262
169	4441	11233
170	4466	11206
171	4491	11175
172	4515	11144
173	4541	11118
174	4567	11091
175	4592	11063
176	4614	11028
177	4639	11000
178	4665	10972
179	4689	10941
180	4713	10912
181	4738	10882
182	4763	10855
183	4787	10823
184	4810	10790
185	4835	10762
186	4859	10732
187	4886	10708
188	4913	10684
189	4936	10652
190	4961	10624
191	4985	10594
192	5010	10565
193	5036	10539
194	5062	10513
195	5087	10486
196	5113	10460
197	5137	10430
198	5161	10400
199	5185	10370
200	5209	10341
201	5234	10314
202	5261	10289
203	5285	10260
204	5310	10231
205	5335	10204
206	5363	10183
207	5388	10155
208	5411	10124
209	5435	10094
210	5460	10066
211	5481	10032
212	5505	10003
213	5530	9975
214	5555	9948
215	5582	9924
216	5608	9899
217	5638	9881
218	5661	9850
219	5687	9823
220	5712	9795
221	5738	9771
222	5762	9741
223	5787	9714
224	5812	9687
225	5838	9662
226	5862	9632
227	5887	9605
228	5913	9580
229	5939	9554
230	5964	9526
231	5988	9499
232	6012	9470
233	6036	9441
234	6062	9415
235	6086	9388
236	6113	9363
237	6139	9337
238	6165	9313
239	6190	9285
240	6220	9266
241	6247	9242
242	6272	9215
243	6300	9192
244	6325	9165
245	6349	9137
246	6377	9114
247	6404	9090
248	6432	9067
249	6457	9040
250	6484	9015
251	6510	8990
252	6536	8965
253	6561	8938
254	6587	8912
255	6614	8888
256	6639	8861
257	6666	8837
258	6692	8811
259	6719	8787
260	6744	8760
261	6770	8733
262	6799	8712
263	6828	8691
264	6857	8668
265	6885	8645
266	6912	8621
267	6939	8596
268	6968	8574
269	7001	8556
270	7034	8540
271	7060	8514
272	7091	8493
273	7120	8472
274	7146	8445
275	7175	8423
276	7204	8401
277	7229	8374
278	7255	8348
279	7284	8325
280	7314	8304
281	7345	8283
282	7375	8261
283	7405	8239
284	7434	8216
285	7462	8192
286	7491	8170
287	7523	8150
288	7556	8131
289	7583	8106
290	7609	8079
291	7638	8057
292	7667	8033
293	7696	8010
294	7723	7985
295	7753	7962
296	7781	7938
297	7806	7911
298	7832	7885
299	7860	7860
300	7890	7837
301	7916	7811
302	7942	7785
303	7970	7760
304	7998	7736
305	8026	7711
306	8050	7683
307	8078	7658
308	8104	7632
309	8133	7608
310	8164	7587
311	8193	7563
312	8220	7537
313	8250	7514
314	8277	7489
315	8301	7460
316	8326	7433
317	8350	7404
318	8374	7376
319	8398	7349
320	8420	7318
321	8441	7288
322	8464	7259
323	8488	7230
324	8512	7202
325	8536	7174
326	8559	7146
327	8583	7117
328	8607	7090
329	8631	7061
330	8655	7034
331	8679	7006
332	8704	6979
333	8732	6954
334	8755	6925
335	8777	6896
336	8801	6868
337	8824	6840
338	8848	6812
339	8874	6786
340	8899	6759
341	8924	6732
342	8948	6705
343	8974	6678
344	8997	6650
345	9020	6621
346	9044	6594
347	9068	6566
348	9092	6539
349	9116	6511
350	9142	6485
351	9166	6458
352	9189	6429
353	9211	6401
354	9235	6373
355	9258	6345
356	9283	6318
357	9306	6291
358	9330	6263
359	9351	6234
360	9373	6205
361	9395	6177
362	9417	6148
363	9439	6119
364	9466	6094
365	9489	6067
366	9513	6039
367	9536	6012
368	9561	5985
369	9586	5959
370	9611	5932
371	9638	5907
372	9668	5883
373	9695	5858
374	9723	5834
375	9749	5808
376	9775	5782
377	9802	5757
378	9828	5730
379	9853	5704
380	9876	5677
381	9900	5649
382	9926	5624
383	9951	5597
384	9978	5572
385	10010	5549
386	10043	5527
387	10066	5500
388	10091	5473
389	10115	5446
390	10140	5420
391	10166	5394
392	10192	5368
393	10216	5341
394	10240	5314
395	10264	5287
396	10288	5260
397	10314	5235
398	10343	5210
399	10372	5186
400	10398	5160
401	10426	5135
